a	1	0.24	0.46	a_dua#1	"làm theo, bắt chước theo việc làm sai trái của người khác; ""nó a dua theo bọn xấu"""
a	2	0.1	0.3	a_ma_tơ#1	[phong cách, lối làm việc] phóng túng, tuỳ thích, không có sự chuyên tâm;học hành rất a ma tơ ~ tính a ma tơ
a	4	0.31	0.42	ác_chiến#1	chiến đấu cực kì ác liệt, có nhiều thương vong;trận ác chiến
a	5	0.09	0.57	ác_độc#1	null;thủ đoạn ác độc ~ tâm địa ác độc
a	6	0.13	0.54	ác_hại#1	có hại lớn, gây tổn thất lớn;trận mưa đá ác hại
a	7	0.1	0.64	ác_hiểm#1	nguy hiểm đáng sợ;mưu mô ác hiểm ~ ngón đòn ác hiểm
a	9	0.24	0.55	ác_khẩu#1 ác_miệng#1	hay nói những lời độc địa;đừng có ác khẩu ~ ác khẩu nhưng không ác tâm
a	10	0.19	0.5	ác_liệt#1	[hoạt động đối lập nhau] rất gay gắt, quyết liệt, gây ra nhiều thiệt hại đáng sợ;cuộc chiến ác liệt ~ địch đánh phá ngày càng ác liệt
a	11	0.16	0.52	ác_nghiệt#1	ác và khắt khe;đối xử ác nghiệt ~ người dì ghẻ ác nghiệt
a	12	0.1	0.46	ác_ôn#1	"có nhiều hành động tàn ác, dã man [cũng dùng làm tiếng rủa];đồ ác ôn! ~ ""Thằng Xăm ác ôn lắm, nó dám bắn bà mẹ như chơi."" (Anh Đức; 16)"
a	14	0.22	0.51	ác#1	"về mặt đạo đức xấu về nguyên tắc hành nghề; ""Một người hành nghề độc ác"""
a	15	0.19	0.48	ác#2	"[người hoặc việc] gây hoặc thích gây đau khổ, tai hoạ cho người khác;không nên gieo tiếng ác cho người khác ~ ""Ở hiền thì lại gặp lành, ở ác gặp dữ tan tành như tro."" (Cdao),có tác dụng xấu, dẫn đến hậu quả không hay;ác quá, sắp thi thì lại ốm ~ trời cứ mưa như thế này mãi thì ác thật ;ở mức độ cao khác thường, gây ấn tượng mạnh;năm nay rét ác hơn mọi năm ~ pháo địch bắn rất ác ~ cô ta dạo này diện ác!"
a	17	0.43	0.1	ái_ân#1	"âu yếm và chung chăn gối với nhau; ""họ đã có nhiều hành động ái ân với nhau"""
a	18	0.58	0.19	ái_mộ#1	"mến chuộng và kính trọng ; ""nữ diễn viên được nhiều người ái mộ"""
a	19	0.1	0.43	ái_nam_ái_nữ#1	có bộ phận sinh dục ngoài không giống của nam cũng không giống của nữ;
a	20	0	0.7	ai_oán#1	bi thương và oán hận [thường nói về âm thanh, tiếng đàn, tiếng hát, v.v. của người có điều oan ức];tiếng đàn ai oán ~ lời ca ai oán
a	23	0.27	0.42	ậm_à_ậm_ạch#1	null;chiếc xe ậm à ậm ạch bò lên dốc
a	24	0	0.29	ấm_a_ấm_ớ#1	null;hỏi cái gì cũng ấm a ấm ớ ~ đúng là cái đồ ấm a ấm ớ
a	25	0.27	0.44	ấm_ách#1	[bụng] đầy ứ, gây cảm giác tức, khó chịu;bụng ấm ách như bị đầy hơi ~ tức ấm ách
a	26	0.26	0.43	ậm_ạch#1	từ gợi tả dáng vẻ chuyển động, vận động nặng nề, khó nhọc, chậm chạp;chiếc xe ậm ạch bò lên dốc ~ công việc vẫn ậm ạch, chưa có gì tiến triển
a	32	0.27	0.42	ăm_ắp#1	null;ruộng ăm ắp nước ~ đầy ăm ắp
a	33	0.5	0	ấm_áp#1	"ấm và gây cảm giác dễ chịu [nói khái quát];nắng xuân ấm áp ~ giọng đọc ấm áp, truyền cảm ~ ""Họ ngồi bên nhau, không nói, nhưng cũng thấy ấm áp hơn."" (Nguyễn Đình Thi; 6)"
a	34	0.5	0	ấm_cúng#1	có tác dụng gây cảm giác thân mật, dễ chịu;căn phòng ấm cúng ~ cảnh gia đình ấm cúng
a	36	0.1	0.47	ảm_đạm#1	không sáng sủa, gợi cảm giác buồn;nét mặt ảm đạm ~ tiền đồ ảm đạm (b)
a	38	0.28	0.56	ấm_đầu#2	có những biểu hiện về tính tình, hành vi không bình thường;ấm đầu hay sao mà làm thế?
a	39	0.57	0.19	ấm_êm#2	null;gia đình ấm êm
a	40	0.59	0.2	ấm_êm#1	"(quan hệ trong gia đình) thuận hoà, tốt đẹp ; ""gia đình ấm êm"""
a	41	0.7	0.31	am_hiểu#2	"hiểu biết thông tin đầy đủ, ""một nhà sưu tập sách hiếm hiểu biết"", ""ngạc nhiên về sự hiểu biết về những gì đang xảy ra"""
a	42	0.25	0.46	âm_ỉ#1	"ngấm ngầm, không dữ dội, nhưng kéo dài;bụng đau âm ỉ ~ ""Một mình âm ỉ đêm chầy, Đĩa dầu vơi, nước mắt đầy, năm canh."" (TKiều)"
a	43	0.25	0.45	ầm_ì#1	"từ mô phỏng tiếng động nghe nhỏ, rền đều đều và kéo dài từ xa vọng tới;tiếng máy bay ầm ì ở chân trời ~ ""Tiếng sấm ầm ì như vọng lại từ lòng đất."" (LVThảo; 8)"
a	44	0.23	0.48	ầm_ĩ#1	ồn ào, náo động, gây cảm giác khó chịu;quát tháo ầm ĩ ~ reo hò ầm ĩ ~ chưa hiểu mô tê gì đã làm ầm ĩ lên
a	45	0.28	0.39	ẩm_mốc#1	ẩm và có mốc do thiếu ánh sáng hoặc do không được chăm sóc [nói khái quát];căn phòng ẩm mốc ~ càng vào sâu trong hang càng ẩm mốc
a	46	0.21	0.47	ám_muội#1	[việc làm] không rõ ràng, có điều gì đó không chính đáng, phải giấu kín;hành động ám muội ~ không làm điều gì ám muội
a	48	0.58	0.1	ấm_no#1	đầy đủ về vật chất, như đủ ăn, đủ mặc [nói khái quát];cuộc sống ấm no
a	49	0.27	0.46	ấm_ớ#1	[thái độ] tỏ ra không chắc chắn, không hẳn là biết, nhưng cũng không hẳn là không biết;hỏi cái gì cũng ấm ớ ~ đúng là cái đồ ấm ớ
a	50	0.1	0.41	ấm_ớ#2	[lối làm việc] đại khái, không rõ ràng, không đâu vào đâu;học hành ấm ớ
a	52	0	0.45	ám_sát#1	"giết người, đặc biệt là của xã hội người nổi tiếng; ""Anwar Sadat bị ám sát vì nhiều người không thích chính trị hòa bình với Israel"""
a	53	0.28	0.29	ẩm_sì#1	rất ẩm;quần áo ẩm sì ~ nền đất ẩm sì
a	57	0.23	0.39	ẩm_thấp#1	ẩm, do đọng nhiều hơi nước [nói khái quát];khí hậu ẩm thấp ~ ngôi nhà tối tăm, ẩm thấp
a	59	0.28	0.42	âm_u#1	[khung cảnh] thiếu ánh sáng tự nhiên, gây một cảm giác nặng nề;rừng núi âm u ~ bầu trời âm u
a	60	0.1	0.42	ậm_ực#1	ấm ức lắm;ậm ực muốn khóc
a	61	0.24	0.45	ẩm_ương#1	dở, chẳng ra làm sao, chẳng có tác dụng gì;tính khí ẩm ương ~ chuyện ẩm ương
a	63	0.23	0.4	ẩm_ướt#1	"ẩm, do thấm nhiều nước hoặc có chứa nhiều hơi nước; ""nền nhà ẩm ướt"""
a	64	0.25	0.42	ẩm_xìu#1	ẩm và mềm ỉu;miếng bánh đa ẩm xìu
a	70	0.51	0.25	ấm#2	có tác dụng gây cảm giác êm dịu, dễ chịu;ấm lòng ~ giọng hát rất ấm
a	73	0.39	0	ân_cần#1	"[đối xử] đầy nhiệt tình và chu đáo;tiếp đãi ân cần ~ ""Thuý Vân chợt tỉnh giấc xuân, Dưới đèn ghé đến, ân cần hỏi han."" (TKiều)"
a	74	0.28	0.69	ăn_cắp#1	"mất mà không có sự đồng ý của chủ sở hữu; ""Ai đó đã ăn cắp ví tiền của tôi trên tàu"", ""tác giả này lấy ăn cắp toàn bộ các đoạn văn từ luận văn của tôi"""
a	75	0.1	0.23	ăn_chơi#1	có dáng vẻ, phong cách của dân ăn chơi;bộ quần áo trông rất ăn chơi
a	76	0.24	0.46	ăn_đủ#1	"hứng chịu hoàn toàn điều không hay hoặc thiệt hại về mình ; ""xe gây tai nạn, tài xế bỏ chạy, mình chủ hàng ăn đủ"""
a	77	0.24	0.45	ân_hận#1	"băn khoăn, day dứt và tự trách mình đã để xảy ra việc không hay ; ""hắn ân hận về những gì đã làm với cô ấy"""
a	78	0.1	0.46	ăn_hiếp#1	"ỷ thế mạnh bắt người khác phải chịu lép mà làm theo ý muốn của mình ; ""nó cậy thế khỏe ăn hiếp yếu"""
a	79	0.42	0	ăn_khách#1	"bán được nhiều do được khách ưa chuộng ; ""mặt hàng này đang rất ăn khách"""
a	80	0.51	0.26	an_khang#1	bình yên và mạnh khoẻ;kính chúc gia đình an khang, thịnh vượng
a	81	0.49	0.25	ăn_khớp#1	vừa khít với nhau, hợp với nhau về mặt kích thước, khả năng, v.v.;mộng ghép rất ăn khớp
a	82	0.55	0.1	an_lành#1	null;giấc ngủ an lành ~ cuộc sống an lành
a	85	0.45	0.1	ân_nghĩa#1	"tình nghĩa thắm thiết, gắn bó do có chịu ơn sâu với nhau ; ""con cái có ân nghĩa với cha mẹ"""
a	86	0.55	0.1	an_nhàn#1	thảnh thơi và được yên ổn, không phải vất vả, khó nhọc;cuộc sống an nhàn
a	87	0.4	0	an_nhiên#1	yên ổn, bình thản như tự nhiên vốn thế;thái độ an nhiên tự tại
a	88	0.27	0.47	an_ninh#1	yên ổn về mặt trật tự xã hội, không có rối loạn;mất an ninh ~ lực lượng an ninh
a	89	0.27	0.44	an_phận#1	"yên với phận của mình và cảnh sống hiện tại, không phấn đấu để có được một sự thay đổi ; ""hắn cam chịu với cuộc sống nghèo khó"""
a	90	0.59	0.21	an_sinh#1	an toàn cuộc sống;vấn đề an sinh xã hội
a	91	0.41	0.29	an_thân#1	null;chưa có chốn an thân ~ chỉ muốn được an thân
a	92	0.33	0	ăn_thua#1	"đạt được kết quả hay có một tác dụng nào đó ; ""làm như thế không ăn thua"""
a	93	0.36	0	an_toàn#1	yên ổn, loại trừ nguy hiểm, hoặc tránh được sự cố;cầu đã được sửa, đi lại rất an toàn ~ van an toàn
a	94	0.32	0	an_toàn#2	"không có các mối nguy hiểm hoặc rủi ro; ""tài sản của ông đã được an toàn"", ""làm một nơi an toàn cho mình trong lĩnh vực của mình"""
a	95	0.65	0.1	ấn_tượng#1	có tác dụng gây cảm xúc mạnh mẽ và tạo thành dấu ấn trong nhận thức;gương mặt rất ấn tượng ~ một pha biểu diễn ấn tượng
a	97	0.38	0.1	ăn_ý#1	hợp ý với nhau, tạo ra sự nhất trí trong hành động, lời nói;chọn bạn diễn ăn ý ~ đội bóng chơi thiếu ăn ý
a	99	0.21	0.3	ẩn#1	"khó phát hiện; ""mặt trời ẩn trong đám mây"""
a	100	0.22	0.4	ắng#1	có cảm giác như bị vật gì làm tắc, làm nghẹn ở cổ họng;cổ ắng lại, không nói nên lời
a	102	0.21	0.4	ằng_ặc#1	"từ mô phỏng âm thanh phát ra trầm đục, yếu ớt, nghe không thành tiếng như bị tắc nghẹt trong cổ họng;kêu ằng ặc ~ ""Ninh khóc ằng ặc như người nuốt phải ngụm gì đắng quá, nó quánh vào cổ họng."" (Nam Cao; 33)"
a	103	0.1	0.42	ầng_ậng#1	[nước mắt] nhiều và dâng đầy khoé mắt như chực tuôn chảy ra;mắt ầng ậng nước
a	106	0	0.29	anh_ách#1	null;no anh ách ~ nói chuyện với nó cứ tức anh ách
a	108	0.43	0.11	anh_dũng#1	dũng cảm quên mình;hi sinh anh dũng
a	109	0.66	0.15	anh_hùng#1	đặc biệt anh dũng;một dân tộc anh hùng
a	112	0	0.5	anh_hùng_rơm#1	"có những lời lẽ khoe khoang làm ra vẻ có khí phách, nhưng thực chất lại là hèn nhát;""Rõ khéo! Chỉ anh hùng rơm! Nói thì một tấc đến giời mà chẳng dám kiện ai."" (Mạnh Phú Tư; 1)"
a	115	0.58	0.12	anh_minh#1	[người lãnh đạo] tài giỏi và sáng suốt;vị vua anh minh
a	118	0.17	0.55	ào_ào#1	từ mô phỏng tiếng gió thổi mạnh, tiếng nước chảy xiết hay tiếng ồn ở chỗ đông người;gió thổi ào ào ~ ào ào như thác đổ
a	121	0.21	0.47	ảo_não#1	buồn thảm, não nuột;bộ mặt ảo não ~ thở dài ảo não
a	122	0	0.4	ảo_tưởng#1	"sự tưởng tượng (hướng về tương lai), dựa trên mong muốn, ước mơ, thoát li hiện thực ; ""nó hay sống trong ảo tưởng"""
a	126	0.2	0.48	ấp_úng#1	"từ gợi tả cách nói không nên lời hoặc nói không gãy gọn, không rành mạch vì lúng túng ; ""nó trả lòi ấp úng"""
a	127	0.52	0.21	au#1	[màu sắc, thường là đỏ] tươi ửng lên, trông thích mắt;quả cam vàng au ~ mái ngói đỏ au
a	128	0.22	0.3	ẩu#1	cẩu thả, bừa bãi, không kể gì phép tắc, nền nếp, cách thức;làm ẩu ~ lái xe chạy ẩu
a	129	0	0.65	âu_sầu#1	"buồn sâu sắc xen lẫn lo âu;""Lòng nàng xiết nỗi xót xa, Má đào ủ dột mặt hoa âu sầu."" (QÂTK)"
a	130	0.1	0.55	ẩu_tả#1	quá ẩu;làm ăn ẩu tả ~ quen thói ẩu tả
a	132	0.27	0.43	ấu_trĩ#1	non nớt, có những suy nghĩ giản đơn, thiếu kinh nghiệm;ấu trĩ về chính trị ~ suy nghĩ hết sức ấu trĩ
a	136	0.21	0.56	ba_lăng_nhăng#1	vớ vẩn, không đâu vào đâu, không có giá trị, ý nghĩa gì;ăn nói ba lăng nhăng
a	137	0.25	0.48	ba_phải#1	đằng nào cũng cho là đúng, là phải, không có hoặc không dám bộc lộ quan điểm, chính kiến riêng;con người ba phải ~ đồ ba phải! (tiếng mắng)
a	138	0	0.44	ba_que#1	xảo trá, đểu giả;giở trò ba que ~ đồ ba que!
a	141	0.22	0.52	ba_vạ#1	bị sử dụng tuỳ tiện, không được trông nom chăm sóc, không ra gì;cái xe ba vạ ~ đồ ba vạ!
a	142	0.19	0.59	bá_vơ#1	vu vơ, không đâu vào đâu;lo chuyện bá vơ
a	143	0.25	0.52	ba_xu#1	rẻ tiền, không có giá trị, ý nghĩa gì, không có gì đáng kể;truyện kiếm hiệp ba xu
